LOJAS AMERIC,LAME4
LOJAS HERING,LHER3
LOJAS HERING,LHER4
LOJAS MARISA,AMAR3
LOJAS RENNER,LREN3
LOPES BRASIL,LPSB3
LUPATECH,LUPA3
M.DIASBRANCO,MDIA3
MAESTROLOC,MSRO3
MAGAZ LUIZA,MGLU3
MANGELS INDL,MGEL3
MANGELS INDL,MGEL4
MARCOPOLO,POMO3
MARCOPOLO,POMO4
MARFRIG,MRFG3
MATER DEI,MATD3
MELHOR SP,MSPA3
MELHOR SP,MSPA4
MELIUZ,CASH3
MELNICK,MELK3
MERC BRASIL,BMEB3
MERC BRASIL,BMEB4
MERC FINANC,MERC3
MERC FINANC,MERC4
MERC INVEST,BMIN3
MERC INVEST,BMIN4
METAL IGUACU,MTIG3
METAL IGUACU,MTIG4
METAL LEVE,LEVE3
METALFRIO,FRIO3
METISA,MTSA3
METISA,MTSA4
MILLS,MILS3
MINASMAQUINA,MMAQ3
MINASMAQUINA,MMAQ4
MINERVA,BEEF3
MINUPAR,MNPR3
MITRE REALTY,MTRE3
MMX MINER,MMXM3
MOBLY,MBLY3
MODALMAIS,MODL11
MODALMAIS,MODL3
MODALMAIS,MODL4
MONT ARANHA,MOAR3
MOSAICO,MOSI3
MOURA DUBEUX,MDNE3
MOVIDA,MOVI3
MRV,MRVE3
MULTILASER,MLAS3
MULTIPLAN,MULT3
MULTIPLUS,MPLU3
MUNDIAL,MNDL3
NADIR FIGUEI,NAFG3
NADIR FIGUEI,NAFG4
NEOENERGIA,NEOE3
NEOGRID,NGRD3
NORD BRASIL,BNBR3
NORDON MET,NORD3
NORTCQUIMICA,NRTQ3
NU-NUBANK,NUBR33
OCEANPACT,OPCT3
ODERICH,ODER3
ODERICH,ODER4
ODONTOPREV,ODPV3
OI,OIBR3
OI,OIBR4
OMEGA GER,OMGE3
ONCOCLINICAS,ONCO3
ORIZON,ORVR3
OSX BRASIL,OSXB3
OUROFINO S/A,OFSA3
P.ACUCAR-CBD,PCAR3
PACIFIC RDSL,PACF3
PADTEC,PDTC3
PAGUE MENOS,PGMN3
PANATLANTICA,PATI3
PANATLANTICA,PATI4
PAR AL BAHIA,PEAB3
PAR AL BAHIA,PEAB4
PARANAPANEMA,PMAM3
PDG REALT,PDGR3
PET MANGUINH,RPMG3
PETROBRAS,PETR3
PETROBRAS,PETR4
PETRORECSA,RECV3
PETRORIO,PRIO3
PETTENATI,PTNT3
PETTENATI,PTNT4
PETZ,PETZ3
PINE,PINE3
PINE,PINE4
PLANOEPLANO,PLPL3
PLASCAR PART,PLAS3
POLPAR,PPAR3
POMIFRUTAS,FRTA3
PORTO SEGURO,PSSA3
PORTOBELLO,PTBL3
POSITIVO TEC,POSI3
PPLA,PPLA11
PRATICA,PTCA11
PRATICA,PTCA3
PRINER,PRNR3
PROFARMA,PFRM3
QUALICORP,QUAL3
QUALITY SOFT,QUSW3
QUERO-QUERO,LJQQ3
RAIADROGASIL,RADL3
RAIZEN,RAIZ4
RANDON PART,RAPT3
RANDON PART,RAPT4
RECRUSUL,RCSL3
RECRUSUL,RCSL4
REDE D OR,RDOR3
REDE ENERGIA,REDE3
RENOVA,RNEW11
RENOVA,RNEW3
RENOVA,RNEW4
RIOSULENSE,RSUL3
RIOSULENSE,RSUL4
RNI,RDNI3
RODOBENS,RBNS11
ROSSI RESID,RSID3
RUMO S.A.,RAIL3
SABESP,SBSP3
SANEPAR,SAPR11
SANEPAR,SAPR3
SANEPAR,SAPR4
SANSUY,SNSY3
SANSUY,SNSY5
SANSUY,SNSY6
SANTANDER BR,SANB11
SANTANDER BR,SANB3
SANTANDER BR,SANB4
SANTANENSE,CTSA3
SANTANENSE,CTSA4
SANTOS BRP,STBP3
SAO CARLOS,SCAR3
SAO MARTINHO,SMTO3
SARAIVA LIVR,SLED3
SARAIVA LIVR,SLED4
SCHULZ,SHUL3
SCHULZ,SHUL4
SEG AL BAHIA,CSAB3
SEG AL BAHIA,CSAB4
SEQUOIA LOG,SEQL3
SER EDUCA,SEER3
SID NACIONAL,CSNA3
SIMPAR,SIMH3
SINQIA,SQIA3
SLC AGRICOLA,SLCE3
SMART FIT,SMFT3
SOMOS EDUCA,SEDU3
SONDOTECNICA,SOND3
SONDOTECNICA,SOND5
SONDOTECNICA,SOND6
SPRINGER,SPRI3
SPRINGER,SPRI5
SPRINGER,SPRI6
SPRINGS,SGPS3
SPTURIS,AHEB3
SPTURIS,AHEB5
SPTURIS,AHEB6
STARA,STTR3
STATKRAFT,STKF3
SUL AMERICA,SULA11
SUL AMERICA,SULA3
SUL AMERICA,SULA4
SUZANO HOLD,NEMO3
SUZANO HOLD,NEMO5
SUZANO HOLD,NEMO6
SUZANO S.A.,SUZB3
SYN PROP TEC,SYNE3
TAESA,TAEE11
TAESA,TAEE3
TAESA,TAEE4
TARPON INV,TRPN3
TAURUS ARMAS,TASA3
TAURUS ARMAS,TASA4
TC,TRAD3
TECHNOS,TECN3
TECNISA,TCSA3
TECNOSOLO,TCNO3
TECNOSOLO,TCNO4
TECTOY,TOYB3
TECTOY,TOYB4
TEGMA,TGMA3
TEGRA INCORP,TEGA3
TEKA,TEKA3
TEKA,TEKA4
TEKNO,TKNO3
TEKNO,TKNO4
TELEBRAS,TELB3
TELEBRAS,TELB4
TELEF BRASIL,VIVT3
TENDA,TEND3
TERRASANTAPA,LAND3
TIM,TIMS3
TIME FOR FUN,SHOW3
TOTVS,TOTS3
TRACK FIELD,TFCO4
TRAN PAULIST,TRPL3
TRAN PAULIST,TRPL4
TREVISA,LUXM3
TREVISA,LUXM4
TRISUL,TRIS3
TRIUNFO PART,TPIS3
TUPY,TUPY3
ULTRAPAR,UGPA3
UNICASA,UCAS3
UNIFIQUE,FIQE3
UNIPAR,UNIP3
UNIPAR,UNIP5
UNIPAR,UNIP6
USIMINAS,USIM3
USIMINAS,USIM5
USIMINAS,USIM6
VALE,VALE3
VALID,VLID3
VAMOS,VAMO3
VIA,VIIA3
VIBRA,VBBR3
VITTIA,VITT3
VIVARA S.A.,VIVA3
VIVEO,VVEO3
VIVER,VIVR3
VULCABRAS,VULC3
WDC NETWORKS,LVTC3
WEG,WEGE3
WESTWING,WEST3
WETZEL S/A,MWET3
WETZEL S/A,MWET4
WHIRLPOOL,WHRL3
WHIRLPOOL,WHRL4
WILSON SONS,PORT3
WIZ S.A.,WIZS3
WLM IND COM,WLMM3
WLM IND COM,WLMM4
YDUQS PART,YDUQ3
